
Aasimar 1st-Level Warrior,Outsider,plains,1/2
Aboleth,Aberration,Underground,7
Achaierai,Outsider,Aligned Plane,5
Air Elemental Small,Elemental,Elemental Plane,1
Air Elemental Medium,Elemental,Elemental Plane,3
Air Elemental Large,Elemental,Elemental Plane,5
Air Elemental Huge,Elemental,Elemental Plane,7
Air Elemental Greater,Elemental,Elemental Plane,9
Air Elemental Elder,Elemental,Elemental Plane,11
Air Mephit,Outsider,Elemental Plane,3
Allip,Undead,Any,3
Androsphinx,Magical Beast,deserts,9
Angel Astral Deva,Outsider,Aligned Plane,14
Angel Planetar,Outsider,Aligned Plane,16
Angel Solar,Outsider,Aligned Plane,23
Animated Object Tiny,Construct,Any,1/2
Animated Object Small,Construct,Any,1
Animated Object Medium,Construct,Any,2
Animated Object Large,Construct,Any,3
Animated Object Huge,Construct,Any,5
Animated Object Gargantuan,Construct,Any,7
Animated Object Colossal,Construct,Any,10
Ankheg,Magical Beast,plains,3
Annis,Monstrous Humanoid,marshes,6
Aranea,Magical Beast,forests,4
Juvenile Arrowhawk,Outsider,Elemental Plane,3
Adult Arrowhawk,Outsider,Elemental Plane,5
Elder Arrowhawk,Outsider,Elemental Plane,8
Assassin Vine,Plant,forests,3
Athach,Aberration,hills,8
Avoral,Outsider,Aligned Plane,9
Azer,Outsider,Elemental Plane,2
Babau,Outsider,Aligned Plane,6
Balor,Outsider,Aligned Plane,20
Barbed Devil (hamatula),Outsider,Aligned Plane,11
Barghest,Outsider,Aligned Plane,4
Greater Barghest,Outsider,Aligned Plane,5
Basilisk,Magical Beast,deserts,5
Bat Swarm,Animal,deserts,2
Bearded Devil (barbazu),Outsider,Aligned Plane,5
Bebilith,Outsider,Aligned Plane,10
Behir,Magical Beast,hills,8
Belker,Elemental,Elemental Plane,6
Black Dragon Adult,Dragon,marshes,11
Black Dragon Ancient,Dragon,marshes,19
Black Dragon Great Wyrm,Dragon,marshes,22
Black Dragon Juvenile,Dragon,marshes,7
Black Dragon Mature Adult,Dragon,marshes,14
Black Dragon Old,Dragon,marshes,16
Black Dragon Very Old,Dragon,marshes,18
Black Dragon Very Young,Dragon,marshes,4
Black Dragon Wyrm,Dragon,marshes,20
Black Dragon Wyrmling,Dragon,marshes,3
Black Dragon Young,Dragon,marshes,5
Black Dragon Young Adult,Dragon,marshes,9
Black Pudding,Ooze,Underground,7
Blink Dog,Magical Beast,plains,2
Blue Dragon Adult,Dragon,deserts,14
Blue Dragon Ancient,Dragon,deserts,21
Blue Dragon Great Wyrm,Dragon,deserts,25
Blue Dragon Juvenile,Dragon,deserts,8
Blue Dragon Mature Adult,Dragon,deserts,16
Blue Dragon Old,Dragon,deserts,18
Blue Dragon Very Old,Dragon,deserts,19
Blue Dragon Very Young,Dragon,deserts,4
Blue Dragon Wyrm,Dragon,deserts,23
Blue Dragon Wyrmling,Dragon,deserts,3
Blue Dragon Young,Dragon,deserts,6
Blue Dragon Young Adult,Dragon,deserts,11
Bodak,Undead,Aligned Plane,8
Bone Devil (osyluth),Outsider,Aligned Plane,9
Bralani,Outsider,Aligned Plane,6
Brass Dragon Adult,Dragon,deserts,12
Brass Dragon Ancient,Dragon,deserts,20
Brass Dragon Great Wyrm,Dragon,deserts,23
Brass Dragon Juvenile,Dragon,deserts,8
Brass Dragon Mature Adult,Dragon,deserts,15
Brass Dragon Old,Dragon,deserts,17
Brass Dragon Very Old,Dragon,deserts,19
Brass Dragon Very Young,Dragon,deserts,4
Brass Dragon Wyrm,Dragon,deserts,21
Brass Dragon Wyrmling,Dragon,deserts,3
Brass Dragon Young,Dragon,deserts,6
Brass Dragon Young Adult,Dragon,deserts,10
Bronze Dragon Adult,Dragon,hills,15
Bronze Dragon Ancient,Dragon,hills,22
Bronze Dragon Great Wyrm,Dragon,hills,25
Bronze Dragon Juvenile,Dragon,hills,9
Bronze Dragon Mature Adult,Dragon,hills,17
Bronze Dragon Old,Dragon,hills,19
Bronze Dragon Very Old,Dragon,hills,20
Bronze Dragon Very Young,Dragon,hills,5
Bronze Dragon Wyrm,Dragon,hills,23
Bronze Dragon Wyrmling,Dragon,hills,3
Bronze Dragon Young,Dragon,hills,7
Bronze Dragon Young Adult,Dragon,hills,12
Bugbear,Humanoid,mountains,2
Bulette,Magical Beast,hills,7
Centaur,Monstrous Humanoid,forests,3
Centipede Swarm,Vermin,Underground,4
Chain Devil (kyton),Outsider,Aligned Plane,6
Chaos Beast,Outsider,Limbo,7
Chimera,Magical Beast,hills,7
Choker,Aberration,Underground,2
Chuul,Aberration,marshes,7
Clay Golem,Construct,Any,10
Cloaker,Aberration,Underground,5
Cloud Giant,Giant,mountains,11
Cockatrice,Magical Beast,plains,3
Copper Dragon Adult,Dragon,hills,14
Copper Dragon Ancient,Dragon,hills,22
Copper Dragon Great Wyrm,Dragon,hills,25
Copper Dragon Juvenile,Dragon,hills,9
Copper Dragon Mature Adult,Dragon,hills,16
Copper Dragon Old,Dragon,hills,19
Copper Dragon Very Old,Dragon,hills,20
Copper Dragon Very Young,Dragon,hills,5
Copper Dragon Wyrm,Dragon,hills,23
Copper Dragon Wyrmling,Dragon,hills,3
Copper Dragon Young,Dragon,hills,7
Copper Dragon Young Adult,Dragon,hills,11
Couatl,Outsider,forests,10
Criosphinx,Magical Beast,deserts,7
Dark Naga,Aberration,hills,8
Darkmantle,Magical Beast,Underground,1
Deinonychus,Animal,forests,3
Delver,Aberration,Underground,9
Derro,Monstrous Humanoid,Underground,3
Destrachan,Aberration,Underground,8
Devourer,Undead,Any,11
Digester,Magical Beast,forests,6
Dire Ape,Animal,forests,3
Dire Badger,Animal,forests,2
Dire Bat,Animal,deserts,2
Dire Bear,Animal,forests,7
Dire Boar,Animal,forests,4
Dire Lion,Animal,plains,5
Dire Rat,Animal,Any,1/3
Dire Shark,Animal,aquatic,9
Dire Tiger,Animal,forests,8
Dire Weasel,Animal,hills,2
Dire Wolf,Animal,forests,3
Dire Wolverine,Animal,forests,4
Djinni,Outsider,Elemental Plane,5 
Doppelganger,Monstrous Humanoid,Any,3
Dragon Turtle,Dragon,aquatic,9
Dragonne,Magical Beast,deserts,7
Dretch,Outsider,Aligned Plane,2
Drider,Aberration,Underground,7
Dryad,Fey,forests,3
Dust Mephit,Outsider,Elemental Plane,3
Dwarf 1st-Level Warrior,Humanoid,mountains,1/2
Duergar 1st-Level Warrior,Humanoid,Underground,1
Eagle Giant,Magical Beast,mountains,3
Earth Elemental Small,Elemental,Elemental Plane,1
Earth Elemental Medium,Elemental,Elemental Plane,3
Earth Elemental Large,Elemental,Elemental Plane,5
Earth Elemental Huge,Elemental,Elemental Plane,7
Earth Elemental Greater,Elemental,Elemental Plane,9
Earth Elemental Elder,Elemental,Elemental Plane,11
Earth Mephit,Outsider,Elemental Plane,3
Efreeti,Outsider,Elemental Plane,8
Elasmosaurus,Animal,aquatic,7
Elf 1st-Level Warrior,Humanoid,forest,1/2
Drow 1st-Level Warrior,Humanoid,Underground,1 
Erinyes,Outsider,Aligned Plane,8
Ethereal Filcher,Aberration,Underground,3
Ethereal Marauder,Magical Beast,Plane,3
Ettercap,Aberration,forests,3
Ettin,Giant,hills,6
Fire Elemental Small,Elemental,Elemental Plane,1
Fire Elemental Medium,Elemental,Elemental Plane,3
Fire Elemental Large,Elemental,Elemental Plane,5
Fire Elemental Huge,Elemental,Elemental Plane,7
Fire Elemental Greater,Elemental,Elemental Plane,9
Fire Elemental Elder,Elemental,Elemental Plane,11
Fire Giant,Giant,mountains,10
Fire Mephit,Outsider,Elemental Plane,3
Flesh Golem,Construct,Any,7
Formian Worker,Outsider,Aligned Plane,1/2
Formian Warrior,Outsider,Aligned Plane,3
Formian Taskmaster,Outsider,Aligned Plane,7
Formian Myrmarch,Outsider,Aligned Plane,10
Formian Queen,Outsider,Aligned Plane,17
Frost Giant,Giant,mountains,9
Frost Worm,Magical Beast,plains,12
Shrieker,Plant,Underground,1
Violet Fungus,Plant,Underground,3
Gargoyle,Monstrous Humanoid,Any,4
Gelatinous Cube,Ooze,Underground,3
Ghaele,Outsider,Aligned Plane,13
Ghoul,Undead,Any,1
Ghast,Undead,Any,3
Giant Ant Worker,Vermin,plains,1
Giant Ant Soldier,Vermin,plains,2
Giant Ant Queen,Vermin,plains,2
Giant Bee,Vermin,plains,1
Giant Bombardier Beetle,Vermin,forests,2
Giant Fire Beetle,Vermin,plains,1/3
Giant Praying Mantis,Vermin,forests,3
Giant Stag Beetle,Vermin,forests,4
Giant Wasp,Vermin,forests,3
Gibbering Mouther,Aberration,Underground,5
Girallon,Magical Beast,forests,6
Glabrezu,Outsider,Aligned Plane,13
Gnoll,Humanoid,plains,1
Gnome 1st-Level Warrior,Humanoid,hills,1/2
Svirfneblin 1st-Level Warrior,Humanoid,Underground,1
Goblin 1st-Level Warrior,Humanoid,plains,1/3
Gold Dragon Adult,Dragon,plains,16
Gold Dragon Ancient,Dragon,plains,24
Gold Dragon Great Wyrm,Dragon,plains,27
Gold Dragon Juvenile,Dragon,plains,11
Gold Dragon Mature Adult,Dragon,plains,19
Gold Dragon Old,Dragon,plains,21
Gold Dragon Very Old,Dragon,plains,22
Gold Dragon Very Young,Dragon,plains,7
Gold Dragon Wyrm,Dragon,plains,25
Gold Dragon Wyrmling,Dragon,plains,5
Gold Dragon Young,Dragon,plains,9
Gold Dragon Young Adult,Dragon,plains,14
Gorgon,Magical Beast,plains,8
Gray Ooze,Ooze,marshes,4
Gray Render,Magical Beast,marshes,8
Green Dragon Adult,Dragon,forests,13
Green Dragon Ancient,Dragon,forests,21
Green Dragon Great Wyrm,Dragon,forests,24
Green Dragon Juvenile,Dragon,forests,8
Green Dragon Mature Adult,Dragon,forests,16
Green Dragon Old,Dragon,forests,18
Green Dragon Very Old,Dragon,forests,19
Green Dragon Very Young,Dragon,forests,4
Green Dragon Wyrm,Dragon,forests,22
Green Dragon Wyrmling,Dragon,forests,3
Green Dragon Young,Dragon,forests,5
Green Dragon Young Adult,Dragon,forests,11
Green Hag,Monstrous Humanoid,marshes,5
Grick,Aberration,Underground,3
Griffon,Magical Beast,hills,4
Grig,Fey,forests,1
Grimlock,Monstrous Humanoid,Underground,1
Guardian Naga,Aberration,plains,10
Gynosphinx,Magical Beast,deserts,8
Halfling 1st-Level Warrior,Humanoid,plains,1/2
Harpy,Monstrous Humanoid,marshes,4
Hell Hound,Outsider,Aligned Plane,3
Hellcat (bezekira),Outsider,Aligned Plane,7
Hellwasp Swarm,Magical Beast,Aligned Plane,8
Hezrou,Outsider,Aligned Plane,11
Hieracosphinx,Magical Beast,deserts,5
Hill Giant,Giant,hills,7
Hill Giant Dire Wereboar Giant Form,Giant,hills,11
Hill Giant Dire Wereboar Dire Boar Form,Giant,hills,11
Hill Giant Dire Wereboar Hybrid Boar Form,Giant,hills,11
Hippogriff,Magical Beast,hills,2
Hobgoblin 1st-Level Warrior,Humanoid,hills,1/2
Homunculus,Construct,Any,1
Horned Devil (cornugon),Outsider,Aligned Plane,16
Hound Archon,Outsider,Aligned Plane,4
Howler,Outsider,Aligned Plane,3
Five-Headed Hydra,Magical Beast,marshes,4 
Six-Headed Hydra,Magical Beast,marshes,5 
Seven-Headed Hydra,Magical Beast,marshes,6 
Eight-Headed Hydra,Magical Beast,marshes,7 
Nine-Headed Hydra,Magical Beast,marshes,8 
Ten-Headed Hydra,Magical Beast,marshes,9 
Eleven-Headed Hydra,Magical Beast,marshes,10 
Twelve-Headed Hydra,Magical Beast,marshes,11 
Ice Devil (gelugon),Outsider,Aligned Plane,13
Ice Mephit,Outsider,Elemental Plane,3
Imp,Outsider,Aligned Plane,2
Invisible Stalker,Elemental,Elemental Plane,7
Iron Golem,Construct,Any,13
Janni,Outsider,deserts,4
Kobold 1st-Level Warrior,Humanoid,forests,1/4
Kolyarut,Construct,Aligned Plane,12
Kraken,Magical Beast,aquatic,12
Krenshar,Magical Beast,forests,1
Lamia,Magical Beast,deserts,6
Lammasu,Magical Beast,deserts,8
Lantern Archon,Outsider,Aligned Plane,2
Lemure,Outsider,Aligned Plane,1
Leonal,Outsider,Aligned Plane,12
Lillend,Outsider,Aligned Plane,7
Lizardfolk,Humanoid,marshes,1
Locathah,Humanoid,aquatic,1/2
Locust Swarm,Vermin,plains,3
Magma Mephit,Outsider,Elemental Plane,3
Magmin,Elemental,Elemental Plane,3
Manticore,Magical Beast,marshes,5
Marilith,Outsider,Aligned Plane,17
Marut,Construct,Aligned Plane,15
Medusa,Monstrous Humanoid,marshes,7
Megaraptor,Animal,forests,6
Merfolk 1st-Level Warrior,Humanoid,aquatic,1/2
Mimic,Aberration,Underground,4
Minotaur,Monstrous Humanoid,Underground,4
Mohrg,Undead,Any,8
Monstrous Centipede Tiny,Vermin,Underground,1/8
Monstrous Centipede Small,Vermin,Underground,1/4
Monstrous Centipede Medium,Vermin,Underground,1/2
Monstrous Centipede Large,Vermin,Underground,1
Monstrous Centipede Huge,Vermin,Underground,2
Monstrous Centipede Gargantuan,Vermin,Underground,6
Monstrous Centipede Colossal,Vermin,Underground,9
Monstrous Scorpion Tiny,Vermin,deserts,1/4
Monstrous Scorpion Small,Vermin,deserts,1/2
Monstrous Scorpion Medium,Vermin,deserts,1
Monstrous Scorpion Large,Vermin,deserts,3
Monstrous Scorpion Huge,Vermin,deserts,7
Monstrous Scorpion Gargantuan,Vermin,deserts,10
Monstrous Scorpion Colossal,Vermin,deserts,12
Monstrous Spider Tiny,Vermin,forests,1/4
Monstrous Spider Small,Vermin,forests,1/2
Monstrous Spider Medium,Vermin,forests,1
Monstrous Spider Large,Vermin,forests,2
Monstrous Spider Huge,Vermin,forests,5
Monstrous Spider Gargantuan,Vermin,forests,8
Monstrous Spider Colossal,Vermin,forests,11
Mummy,Undead,Any,5
Nalfeshnee,Outsider,Aligned Plane,14
Night Hag,Outsider,Aligned Plane,9
Nightcrawler,Undead,Elemental Plane,18
Nightmare,Outsider,Aligned Plane,5
Nightwalker,Undead,Elemental Plane,16
Nightwing,Undead,Elemental Plane,14
Nixie,Fey,aquatic,1
Nymph,Fey,forests,7
Ochre Jelly,Ooze,marshes,5
Ogre,Giant,hills,3
Ogre Mage,Giant,hills,8
Ooze Mephit,Outsider,Elemental Plane,3
Orc 1st-Level Warrior,Humanoid,hills,1/2
Otyugh,Aberration,Underground,4
Owl Giant,Magical Beast,forests,3
Owlbear,Magical Beast,forests,4
Pegasus,Magical Beast,forests,3
Phantom Fungus,Plant,Underground,3
Phase Spider,Magical Beast,hills,5
Phasm,Aberration,Underground,7
Pit Fiend,Outsider,Aligned Plane,20
Pixie,Fey,forests,4 
Pseudodragon,Dragon,forests,1
Purple Worm,Magical Beast,Underground,12
Quasit,Outsider,Aligned Plane,2
Rakshasa,Outsider,marshes,10
Rast,Outsider,Elemental Plane,5
Rat Swarm,Animal,Any,2
Ravid,Outsider,Plane,5
Red Dragon Adult,Dragon,mountains,15
Red Dragon Ancient,Dragon,mountains,23
Red Dragon Great Wyrm,Dragon,mountains,26
Red Dragon Juvenile,Dragon,mountains,10
Red Dragon Mature Adult,Dragon,mountains,18
Red Dragon Old,Dragon,mountains,20
Red Dragon Very Old,Dragon,mountains,21
Red Dragon Very Young,Dragon,mountains,5
Red Dragon Wyrm,Dragon,mountains,24
Red Dragon Wyrmling,Dragon,mountains,4
Red Dragon Young,Dragon,mountains,7
Red Dragon Young Adult,Dragon,mountains,13
Remorhaz,Magical Beast,desert,7
Retriever,Construct,Aligned Plane,11
Roc,Animal,mountains,9
Roper,Magical Beast,Underground,12
Rust Monster,Aberration,Underground,3
Sahuagin,Monstrous Humanoid,aquatic,2
Flamebrother Salamander,Outsider,Elemental Plane,3
Average Salamander,Outsider,Elemental Plane,6
Noble Salamander,Outsider,Elemental Plane,10
Salt Mephit,Outsider,Elemental Plane,3
Satyr,Fey,forests,2 
Sea Cat,Magical Beast,aquatic,4
Sea Hag,Monstrous Humanoid,aquatic,4
Shadow,Undead,Any,3
Shadow Mastiff,Outsider,Elemental Plane,5
Shambling Mound,Plant,marshes,6
Shield Guardian,Construct,Any,8
Shocker Lizard,Magical Beast,marshes,2
Silver Dragon Adult,Dragon,mountains,15
Silver Dragon Ancient,Dragon,mountains,23
Silver Dragon Great Wyrm,Dragon,mountains,26
Silver Dragon Juvenile,Dragon,mountains,10
Silver Dragon Mature Adult,Dragon,mountains,18
Silver Dragon Old,Dragon,mountains,20
Silver Dragon Very Old,Dragon,mountains,21
Silver Dragon Very Young,Dragon,mountains,5
Silver Dragon Wyrm,Dragon,mountains,24
Silver Dragon Wyrmling,Dragon,mountains,4
Silver Dragon Young,Dragon,mountains,7
Silver Dragon Young Adult,Dragon,mountains,13
Human Warrior Skeleton,Undead,plains,1/3
Wolf Skeleton,Undead,forests,1
Owlbear Skeleton,Undead,forests,2
Troll Skeleton,Undead,mountains,3
Chimera Skeleton,Undead,hills,4
Ettin Skeleton,Undead,hills,5
Advanced Megaraptor Skeleton,Undead,forests,6
Cloud Giant Skeleton,Undead,mountains,7
Young Adult Red Dragon Skeleton,Undead,mountains,8
Skum,Aberration,Underground,2
Spectre,Undead,Any,7
Spider Eater,Magical Beast,forests,5
Spider Swarm,Vermin,forests,1
Spirit Naga,Aberration,marshes,9
Steam Mephit,Outsider,Elemental Plane,3
Stirge,Magical Beast,marshes,1/2
Stone Giant,Giant,mountains,8 
Stone Golem,Construct,Any,11
Storm Giant,Giant,mountains,13
Succubus,Outsider,Aligned Plane,7
Tarrasque,Magical Beast,Any,20
Tendriculos,Plant,forests,6
Thoqqua,Elemental,Elemental Plane,2
Tiefling 1st-Level Warrior,Outsider,plains,1/2
Titan,Outsider,Aligned Plane,21
Juvenile Tojanida,Outsider,Elemental Plane,3
Adult Tojanida,Outsider,Elemental Plane,5
Elder Tojanida,Outsider,Elemental Plane,9
Treant,Plant,forests,8
Triceratops,Animal,plains,9
Triton,Outsider,aquatic,2
Troglodyte,Humanoid,Underground,1
Troll,Giant,mountains,5
Trumpet Archon,Outsider,Aligned Plane,14
Tyrannosaurus,Animal,plains,8
Unicorn,Magical Beast,forests,3
Vampire Spawn,Undead,Any,4
Vargouille,Outsider,Aligned Plane,2
Vrock,Outsider,Aligned Plane,9
Water Elemental Small,Elemental,Elemental Plane,1
Water Elemental Medium,Elemental,Elemental Plane,3
Water Elemental Large,Elemental,Elemental Plane,5
Water Elemental Huge,Elemental,Elemental Plane,7
Water Elemental Greater,Elemental,Elemental Plane,9
Water Elemental Elder,Elemental,Elemental Plane,11
Water Mephit,Outsider,Elemental Plane,3
Water Naga,Aberration,aquatic,7
Werebear Human Form,Humanoid,forests,5
Werebear Bear Form,Humanoid,forests,5
Werebear Hybrid Form,Humanoid,forests,5
Wereboar Human Form,Humanoid,forests,4
Wereboar Boar Form,Humanoid,forests,4
Wereboar Hybrid Form,Humanoid,forests,4
Wererat Human Form,Humanoid,Any,2
Wererat Dire Rat Form,Humanoid,Any,2
Wererat Hybrid Form,Humanoid,Any,2
Weretiger Human Form,Humanoid,forests,5
Weretiger Tiger Form,Humanoid,forests,5
Weretiger Hybrid Form,Humanoid,forests,5
Werewolf Human Form,Humanoid,forests,3
Werewolf Wolf Form,Humanoid,forests,3
Werewolf Hybrid Form,Humanoid,forests,3
White Dragon Adult,Dragon,mountains,10
White Dragon Ancient,Dragon,mountains,18
White Dragon Great Wyrm,Dragon,mountains,21
White Dragon Juvenile,Dragon,mountains,6
White Dragon Mature Adult,Dragon,mountains,12
White Dragon Old,Dragon,mountains,15
White Dragon Very Old,Dragon,mountains,17
White Dragon Very Young,Dragon,mountains,3
White Dragon Wyrm,Dragon,mountains,19
White Dragon Wyrmling,Dragon,mountains,2
White Dragon Young,Dragon,mountains,4
White Dragon Young Adult,Dragon,mountains,8
Wight,Undead,Any,3
Will-o-wisp,Aberration,marshes,6
Winter Wolf,Magical Beast,forests,5
Worg,Magical Beast,plains,2
Wraith,Undead,Any,5
Dread Wraith,Undead,Any,11
Wyvern,Dragon,hills,6
Xill,Outsider,Plane,6
Minor Xorn,Outsider,Elemental Plane,3
Average Xorn,Outsider,Elemental Plane,6
Elder Xorn,Outsider,Elemental Plane,8
Yeth Hound,Outsider,Aligned Plane,3
Yrthak,Magical Beast,mountains,9
Zelekhut,Construct,Aligned Plane,9
Kobold Zombie,Undead,forests,1/2
Human Commoner Zombie,Undead,Any,1/2
Troglodyte Zombie,Undead,Underground,1
Bugbear Zombie,Undead,mountains,2
Ogre Zombie,Undead,hills,3
Minotaur Zombie,Undead,Underground,4
Wyvern Zombie,Undead,hills,4
Gray Render Zombie,Undead,marshes,6
Ape,Animal,forests,2
Baboon,Animal,plains,1/2
Badger,Animal,forests,1/2
Bat,Animal,deserts,1/10
Bear Black,Animal,forests,2
Bear Brown,Animal,forests,4
Bear Polar,Animal,plains,4
Bison,Animal,plains,2
Boar,Animal,forests,2
Camel,Animal,deserts,1
Cat,Animal,plains,1/4
Cheetah,Animal,plains,2
Crocodile,Animal,marshes,2
Crocodile Giant,Animal,marshes,4
Dog,Animal,plains,1/3
Dog Riding,Animal,plains,1
Donkey,Animal,deserts,1/6
Eagle,Animal,mountains,1/2
Elephant,Animal,plains,7
Hawk,Animal,forests,1/3
Horse Heavy,Animal,plains,1
Horse Light,Animal,plains,1
